sentences,name,clean_sentence
"Neusoft Corporation is a Chinese multinational provider of software engineering services, Information Technology services, product engineering services, IT education and medical equipment headquartered in Shenyang, China.
""Neusoft"" is an acronym of Northeastern University Software.
The company was founded in 1991 and, as of 2020, is the largest China-based company providing IT services and, as of 2012, the largest software outsourcing firm in China.
Neusoft has subsidiaries in United States (Livonia, Michigan, Santa Clara, California, Morrisville, North Carolina), Japan (Tokyo), Switzerland (Appenzell), Germany (Hamburg, Munich) and Romania (Cluj-Napoca).

",neusoft,"$COMPANY Corporation is a Chinese multinational provider of software engineering services, Information Technology services, product engineering services, IT education and medical equipment headquartered in Shenyang, China.
""Neusoft"" is an acronym of Northeastern University Software.
The company was founded in 1991 and, as of 2020, is the largest China-based company providing IT services and, as of 2012, the largest software outsourcing firm in China.
Neusoft has subsidiaries in United States (Livonia, Michigan, Santa Clara, California, Morrisville, North Carolina), Japan (Tokyo), Switzerland (Appenzell), Germany (Hamburg, Munich) and Romania (Cluj-Napoca).

"
"The website is owned by Trip.com Group (formerly Ctrip.com International, Ltd",ctrip.com,"The website is owned by Trip.com Group (formerly $COMPANY International, Ltd"
Capgemini SE is a French multinational information technology (IT) services and consulting company,capgemini,$COMPANY SE is a French multinational information technology (IT) services and consulting company
"Capgemini has over 270,000 employees in over 50 countries, of whom nearly 125,000 are in India.",capgemini,"$COMPANY has over 270,000 employees in over 50 countries, of whom nearly 125,000 are in India."
"Atos is a French multinational information technology (IT) service and consulting company headquartered in Bezons, France and offices worldwide",atos,"$COMPANY is a French multinational information technology (IT) service and consulting company headquartered in Bezons, France and offices worldwide"
"Atos operates worldwide under the brands Atos, Atos|Syntel, Atos Consulting, Atos Healthcare, Atos Worldgrid, Groupe Bull, Canopy and Unify.

",atos,"$COMPANY operates worldwide under the brands Atos, Atos|Syntel, Atos Consulting, Atos Healthcare, Atos Worldgrid, Groupe Bull, Canopy and Unify.

"
"Sopra Steria is a Paris-based consulting, digital services, and software development company.",sopra steria,"$COMPANY is a Paris-based consulting, digital services, and software development company."
"Orange Business Services, the business services arm of Orange S.A., is a global integrator of communications products and services for multinational corporations.It offers integrated communications products and services to global enterprises in cloud computing, unified communications, collaboration, Big Data, Internet of things and Artificial Intelligence ; which manage and integrate the complexity of international communications and software applications.Orange Business Services was founded on 1 June 2006, through a rebranding and consolidation of the existing France Telecom businesses of Equant and Wanadoo",orange business services,"$COMPANY, the business services arm of Orange S.A., is a global integrator of communications products and services for multinational corporations.It offers integrated communications products and services to global enterprises in cloud computing, unified communications, collaboration, Big Data, Internet of things and Artificial Intelligence ; which manage and integrate the complexity of international communications and software applications.Orange Business Services was founded on 1 June 2006, through a rebranding and consolidation of the existing France Telecom businesses of Equant and Wanadoo"
"Orange Business Services also acquired giants like Business & Decision and Basefarm in recent years who specializes in Analytics, Data Science, Cloud etc.
It operates in over 220 countries and territories and employs over 21,000 employees in 166 countries",orange business services,"$COMPANY also acquired giants like Business & Decision and Basefarm in recent years who specializes in Analytics, Data Science, Cloud etc.
It operates in over 220 countries and territories and employs over 21,000 employees in 166 countries"
T-Systems is a German global IT services and consulting company headquartered in Frankfurt,t-systems,$COMPANY is a German global IT services and consulting company headquartered in Frankfurt
"Founded in 2000, it is a subsidiary of Deutsche Telekom.
As of 2012, T-Systems was the largest German and one of the largest European IT services companies, serving customers such as WestLB, Old Mutual, Daimler, Volkswagen, Royal Dutch Shell, Sanlam, Murray & Roberts, BP, TUI AG, De Agostini, Philips, MAN SE, Airbus, E.ON",t-systems,"Founded in 2000, it is a subsidiary of Deutsche Telekom.
As of 2012, $COMPANY was the largest German and one of the largest European IT services companies, serving customers such as WestLB, Old Mutual, Daimler, Volkswagen, Royal Dutch Shell, Sanlam, Murray & Roberts, BP, TUI AG, De Agostini, Philips, MAN SE, Airbus, E.ON"
"Since January 2018 Adel Al-Saleh has been the CEO of T-Systems.In June 2018, T-Systems announced it will cut 10,000 jobs in 3 years, including 6,000 in Germany, with the hope of returning the company to profitability.",t-systems,"Since January 2018 Adel Al-Saleh has been the CEO of $COMPANY.In June 2018, T-Systems announced it will cut 10,000 jobs in 3 years, including 6,000 in Germany, with the hope of returning the company to profitability."
"Since then, the company has operated under the name of M+W Group, or M+W for short, and is 100% owned by the Austrian holding company Stumpf Group since 2009.The Exyte Group was established in 2018 from a reorganization of the M+W Group",m+w group,
"The core businesses (solutions for the semiconductor, batteries, biopharma and Life sciences as well as services for Data centers) were bundled within the Exyte Group, while all other business activities, which are mainly related to energy projects, are still conducted under the brand name M+W Group",m+w group,
"The private sector is the part of the economy, sometimes referred to as the citizen sector, which is owned by private groups, usually as a means of establishment for profit or non profit, rather than being owned by the government.",private sector,"The $COMPANY is the part of the economy, sometimes referred to as the citizen sector, which is owned by private groups, usually as a means of establishment for profit or non profit, rather than being owned by the government."
"Tata Consultancy Services (TCS) is an Indian multinational information technology (IT) services and consulting company headquartered in Mumbai, Maharashtra, India with its largest campus located in Chennai, Tamil Nadu, India",tata consultancy services,"$COMPANY (TCS) is an Indian multinational information technology (IT) services and consulting company headquartered in Mumbai, Maharashtra, India with its largest campus located in Chennai, Tamil Nadu, India"
"HCL Technologies is an Indian multinational information technology (IT) services and consulting company, headquartered in Noida, Uttar Pradesh, India",hcl technologies,"$COMPANY is an Indian multinational information technology (IT) services and consulting company, headquartered in Noida, Uttar Pradesh, India"
"Originally a research and development division of HCL, it emerged as an independent company in 1991 when HCL entered into the software services business.
The company has offices in 50 countries including United Kingdom, United States, France, and Germany with a worldwide network of R&D, ""innovation labs"" and ""delivery centers"", over 187,000 employees and its customers include 250 of the Fortune 500 and 650 of the Global 2,000 companies.
It operates across sectors including aerospace and defense, automotive, banking, capital markets, chemical and process industries, energy and utilities, healthcare, hi-tech, industrial manufacturing, consumer goods, insurance, life sciences, manufacturing, media and entertainment, mining and natural resources, oil and gas, retail, telecom,  and travel, transportation, logistics & hospitality.HCL Technologies is on the Forbes Global 2000 list",hcl technologies,"Originally a research and development division of HCL, it emerged as an independent company in 1991 when HCL entered into the software services business.
The company has offices in 50 countries including United Kingdom, United States, France, and Germany with a worldwide network of R&D, ""innovation labs"" and ""delivery centers"", over 187,000 employees and its customers include 250 of the Fortune 500 and 650 of the Global 2,000 companies.
It operates across sectors including aerospace and defense, automotive, banking, capital markets, chemical and process industries, energy and utilities, healthcare, hi-tech, industrial manufacturing, consumer goods, insurance, life sciences, manufacturing, media and entertainment, mining and natural resources, oil and gas, retail, telecom,  and travel, transportation, logistics & hospitality.$COMPANY is on the Forbes Global 2000 list"
Tech Mahindra is an Indian multinational technology company that provides information technology (IT) and business process outsourcing (BPO) services,tech mahindra,$COMPANY is an Indian multinational technology company that provides information technology (IT) and business process outsourcing (BPO) services
"A subsidiary of the Mahindra Group, the company is headquartered in Pune and has its registered office in Mumbai.
As of April 2020, Tech Mahindra is a US$5.2 billion company with 125,236 employees across 90 countries",tech mahindra,"A subsidiary of the Mahindra Group, the company is headquartered in Pune and has its registered office in Mumbai.
As of April 2020, $COMPANY is a US$5.2 billion company with 125,236 employees across 90 countries"
"On 25 June 2013, Tech Mahindra announced the completion of a merger with Mahindra Satyam",tech mahindra,"On 25 June 2013, $COMPANY announced the completion of a merger with Mahindra Satyam"
Tech Mahindra has 973 active clients as of April 2020.,tech mahindra,$COMPANY has 973 active clients as of April 2020.
Webuild SpA (formerly Salini Impregilo SpA) (Italian pronunciation: [saˈliːni impreˈdʒiːlo]) is an Italian industrial group specialised in the construction and civil engineering business headquartered in Milan,salini impregilo,Webuild SpA (formerly $COMPANY SpA) (Italian pronunciation: [saˈliːni impreˈdʒiːlo]) is an Italian industrial group specialised in the construction and civil engineering business headquartered in Milan
"Salini Impregilo is the largest Italian engineering and general contractor group and a global player in the construction sector.
The company is active in over 50 countries of 5 continents (Africa, America, Asia, Europe, Oceania) with 35,000 employees",salini impregilo,"$COMPANY is the largest Italian engineering and general contractor group and a global player in the construction sector.
The company is active in over 50 countries of 5 continents (Africa, America, Asia, Europe, Oceania) with 35,000 employees"
The neck is the part of the body on many vertebrates that connects the head with the torso and provides the mobility and movements of the head,nec,The $COMPANYk is the part of the body on many vertebrates that connects the head with the torso and provides the mobility and movements of the head
"The structures of the human neck are anatomically grouped into four compartments; vertebral, visceral and two vascular compartments",nec,"The structures of the human $COMPANYk are anatomically grouped into four compartments; vertebral, visceral and two vascular compartments"
"Within these compartments, the neck houses the cervical vertebrae and cervical part of the spinal cord, upper parts of the respiratory and digestive tracts, endocrine glands, nerves, arteries and veins",nec,"Within these compartments, the $COMPANYk houses the cervical vertebrae and cervical part of the spinal cord, upper parts of the respiratory and digestive tracts, endocrine glands, nerves, arteries and veins"
Muscles of the neck are described separately from the compartments,nec,Muscles of the $COMPANYk are described separately from the compartments
"They bound the neck triangles.In anatomy, the neck is also called by its Latin names, cervix or collum, although when used alone, in context, the word cervix more often refers to the uterine cervix, the neck of the uterus",nec,"They bound the $COMPANYk triangles.In anatomy, the neck is also called by its Latin names, cervix or collum, although when used alone, in context, the word cervix more often refers to the uterine cervix, the neck of the uterus"
Thus the adjective cervical may refer either to the neck (as in cervical vertebrae or cervical lymph nodes) or to the uterine cervix (as in cervical cap or cervical cancer).,nec,Thus the adjective cervical may refer either to the $COMPANYk (as in cervical vertebrae or cervical lymph nodes) or to the uterine cervix (as in cervical cap or cervical cancer).
"NTT DATA Corporation (株式会社エヌ・ティ・ティ・データ, Kabushiki-kaisha Enu-tī-tī Dēta) is a Japanese multinational information technology (IT) service and consulting company headquartered in Tokyo, Japan",ntt data corporation,"$COMPANY (株式会社エヌ・ティ・ティ・データ, Kabushiki-kaisha Enu-tī-tī Dēta) is a Japanese multinational information technology (IT) service and consulting company headquartered in Tokyo, Japan"
Dentsu Inc,dentsu,$COMPANY Inc
"Dentsu is currently the largest advertising agency and the fifth largest advertising agency network in the world in terms of worldwide revenues.Dentsu does business with almost every major institution in Japan, accounting for about 28 percent of the national advertising budget",dentsu,"$COMPANY is currently the largest advertising agency and the fifth largest advertising agency network in the world in terms of worldwide revenues.Dentsu does business with almost every major institution in Japan, accounting for about 28 percent of the national advertising budget"
"Its connections to the government are so tight that The New York Times referred to Dentsu as ""the unofficial communications department of the governing Liberal Democratic Party"", and it has also been likened to the CIA on account of its reach.",dentsu,"Its connections to the government are so tight that The New York Times referred to $COMPANY as ""the unofficial communications department of the governing Liberal Democratic Party"", and it has also been likened to the CIA on account of its reach."
The building was designed by KEO International Consultants.,keo international consultants,The building was designed by $COMPANY.
"Hilti Corporation (Hilti Aktiengesellschaft or Hilti AG, also known as Hilti Group) is a Liechtenstein multinational company that develops, manufactures, and markets products for the construction, building maintenance, energy and manufacturing industries, mainly to the professional end-user",hilti,"$COMPANY Corporation (Hilti Aktiengesellschaft or Hilti AG, also known as Hilti Group) is a Liechtenstein multinational company that develops, manufactures, and markets products for the construction, building maintenance, energy and manufacturing industries, mainly to the professional end-user"
"It concentrates mainly on anchoring systems, fire protection systems, installation systems, measuring and detection tools (such as laser levels, range meters and line lasers), power tools (such as hammer drills, demolition hammers, diamond drills, cordless electric drills, heavy angle drills,  power saws) and related software and services.Hilti, a registered trademark of the various Hilti corporate entities, is the family name of the company's founders.",hilti,"It concentrates mainly on anchoring systems, fire protection systems, installation systems, measuring and detection tools (such as laser levels, range meters and line lasers), power tools (such as hammer drills, demolition hammers, diamond drills, cordless electric drills, heavy angle drills,  power saws) and related software and services.$COMPANY, a registered trademark of the various Hilti corporate entities, is the family name of the company's founders."
"Softtek is a Mexico-based information technology company, operating in North America, Latin America, Europe and Asia",softtek,"$COMPANY is a Mexico-based information technology company, operating in North America, Latin America, Europe and Asia"
"Municipio (Spanish: [muniˈθipjo], Italian: [muniˈtʃiːpjo]) and município (Portuguese: [muniˈsipiu]) are country subdivisions in Italy and several Hispanophone and Lusophone nations, respectively",municipio,"$COMPANY (Spanish: [muniˈθipjo], Italian: [muniˈtʃiːpjo]) and município (Portuguese: [muniˈsipiu]) are country subdivisions in Italy and several Hispanophone and Lusophone nations, respectively"
"In the English language, a municipality often is defined as relating to a single city or town; however, in Spanish, the term ""municipio"" may not mean a single city or town, but rather a jurisdiction housing several towns and cities, like a township, county, borough or civil parish",municipio,"In the English language, a municipality often is defined as relating to a single city or town; however, in Spanish, the term ""$COMPANY"" may not mean a single city or town, but rather a jurisdiction housing several towns and cities, like a township, county, borough or civil parish"
"However, in Brazil, a Municipio is an independent city & a public corporporation with status of Federated Entity.",municipio,"However, in Brazil, a $COMPANY is an independent city & a public corporporation with status of Federated Entity."
"Gemalto was an international digital security company providing software applications, secure personal devices such as smart cards and tokens, and managed services",gemalto,"$COMPANY was an international digital security company providing software applications, secure personal devices such as smart cards and tokens, and managed services"
"Gemalto N.V.'s revenue in 2018 was €2.969 billion.Purchased by Thales Group in April 2019 and now operating as Thales DIS (Digital Identity and Security), Gemalto was until its acquisition the world's largest manufacturer of SIM cards.Thales DIS is headquartered in Amsterdam, The Netherlands, and has subsidiaries and group companies in several countries",gemalto,"$COMPANY N.V.'s revenue in 2018 was €2.969 billion.Purchased by Thales Group in April 2019 and now operating as Thales DIS (Digital Identity and Security), Gemalto was until its acquisition the world's largest manufacturer of SIM cards.Thales DIS is headquartered in Amsterdam, The Netherlands, and has subsidiaries and group companies in several countries"
"BearingPoint (parent company: BearingPoint Europe Holdings B.V.) is a multinational management and technology consulting firm headquartered in Amsterdam, Netherlands",bearingpoint,"$COMPANY (parent company: BearingPoint Europe Holdings B.V.) is a multinational management and technology consulting firm headquartered in Amsterdam, Netherlands"
"After an IPO in 2001, the company was renamed BearingPoint Inc",bearingpoint,"After an IPO in 2001, the company was renamed $COMPANY Inc"
"in October 2002.
BearingPoint became one of the world's largest providers of management and technology consulting services, with operations in more than 60 countries and approximately 17,100 employees",bearingpoint,"in October 2002.
$COMPANY became one of the world's largest providers of management and technology consulting services, with operations in more than 60 countries and approximately 17,100 employees"
"Following restructuring and a management buyout in August 2009, BearingPoint's continuing operations were organized as a Netherlands-based partnership.

",bearingpoint,"Following restructuring and a management buyout in August 2009, $COMPANY's continuing operations were organized as a Netherlands-based partnership.

"
Heijmans N.V,heijmans,$COMPANY N.V
"Fulton Hogan is a large infrastructure construction, roadworks and aggregate supplier company in New Zealand, which is also active in wider Australasia.
The company was founded by Julius Fulton and Robert Hogan in Dunedin in 1933",fulton hogan,"$COMPANY is a large infrastructure construction, roadworks and aggregate supplier company in New Zealand, which is also active in wider Australasia.
The company was founded by Julius Fulton and Robert Hogan in Dunedin in 1933"
Visma is a privately held company based in Oslo (Norway),visma,$COMPANY is a privately held company based in Oslo (Norway)
 The Visma management owns 6.6% of the company,visma, The $COMPANY management owns 6.6% of the company
"Today, the group comprises five business areas: SMB, Enterprise, Custom Solutions, Cloud Infrastructure Services and Commerce Solutions.The Visma group operates across the entire Nordic region along with Benelux, Central and Eastern Europe",visma,"Today, the group comprises five business areas: SMB, Enterprise, Custom Solutions, Cloud Infrastructure Services and Commerce Solutions.The $COMPANY group operates across the entire Nordic region along with Benelux, Central and Eastern Europe"
"Tata Technologies Limited is a company in the Tata Group that provides services in engineering and design, product lifecycle management, manufacturing, product development, and IT service management to automotive and aerospace original equipment manufacturers and their suppliers",tata technologies,"$COMPANY Limited is a company in the Tata Group that provides services in engineering and design, product lifecycle management, manufacturing, product development, and IT service management to automotive and aerospace original equipment manufacturers and their suppliers"
"Tata Technologies has headquarters in Pune and regional headquarters in the United States (Novi, Michigan), ThaneOne Corporate Business IT Park, Thane and the UK (Coventry)",tata technologies,"$COMPANY has headquarters in Pune and regional headquarters in the United States (Novi, Michigan), ThaneOne Corporate Business IT Park, Thane and the UK (Coventry)"
"NCS Group (also known as NCS Pte Ltd or ""NCS"", previously known as National Computer Systems) is a multinational information technology and communications engineering company headquartered in Singapore",ncs group,"$COMPANY (also known as NCS Pte Ltd or ""NCS"", previously known as National Computer Systems) is a multinational information technology and communications engineering company headquartered in Singapore"
Dimension Data is a company specialising in information technology services,dimension data,$COMPANY is a company specialising in information technology services
"Dimension Data focuses on services including IT consulting, technical and support services, and managed services",dimension data,"$COMPANY focuses on services including IT consulting, technical and support services, and managed services"
"On 1 July 2019, all Dimension Data operations, excluding those in the Middle East and Africa, became part of NTT Ltd.",dimension data,"On 1 July 2019, all $COMPANY operations, excluding those in the Middle East and Africa, became part of NTT Ltd."
Business Connexion (Pty) Ltd,business connexion,$COMPANY (Pty) Ltd
EOH Group is a South African company specialising the provision of technology services to businesses and government,eoh,$COMPANY Group is a South African company specialising the provision of technology services to businesses and government
"Samsung Engineering Co., Ltd",samsung engineering,"$COMPANY Co., Ltd"
"Amadeus IT Group, S.A",amadeus it group,"$COMPANY, S.A"
Telefonaktiebolaget LM Ericsson (lit,ericsson,Telefonaktiebolaget LM $COMPANY (lit
"Telephone Stock Company of LM Ericsson), commonly known as Ericsson, is a Swedish multinational networking and telecommunications company headquartered in Stockholm",ericsson,"Telephone Stock Company of LM $COMPANY), commonly known as Ericsson, is a Swedish multinational networking and telecommunications company headquartered in Stockholm"
"Ericsson has over 57,000 granted patents.Ericsson has been a major contributor to the development of the telecommunications industry and is one of the leaders in 5G.The company was founded in 1876 by Lars Magnus Ericsson and is jointly controlled by the Wallenberg family through its holding company Investor AB and the investment company Industrivärden",ericsson,"$COMPANY has over 57,000 granted patents.Ericsson has been a major contributor to the development of the telecommunications industry and is one of the leaders in 5G.The company was founded in 1876 by Lars Magnus Ericsson and is jointly controlled by the Wallenberg family through its holding company Investor AB and the investment company Industrivärden"
"The Wallenbergs and the Handelsbanken sphere acquired their voting-strong A-shares, and thus the control of Ericsson, after the fall of the Kreuger empire in the early 1930s.Ericsson is the inventor of Bluetooth technology.",ericsson,"The Wallenbergs and the Handelsbanken sphere acquired their voting-strong A-shares, and thus the control of $COMPANY, after the fall of the Kreuger empire in the early 1930s.Ericsson is the inventor of Bluetooth technology."
Skanska AB (Swedish pronunciation: [ˈskânːska]) is a multinational construction and development company based in Sweden,skanska,$COMPANY AB (Swedish pronunciation: [ˈskânːska]) is a multinational construction and development company based in Sweden
Skanska is the fifth largest construction company in the world according to Construction Global magazine,skanska,$COMPANY is the fifth largest construction company in the world according to Construction Global magazine
"Notable Skanska projects include renovation of the United Nations Headquarters, the World Trade Center Transportation Hub project, Moynihan Train Hall, 30 St Mary Axe, MetLife Stadium, Mater Dei Hospital, among others.

",skanska,"Notable $COMPANY projects include renovation of the United Nations Headquarters, the World Trade Center Transportation Hub project, Moynihan Train Hall, 30 St Mary Axe, MetLife Stadium, Mater Dei Hospital, among others.

"
"Peab AB is a construction and civil engineering company headquartered in Förslöv, Scania, listed on NASDAQ OMX Stockholm",peab,"$COMPANY AB is a construction and civil engineering company headquartered in Förslöv, Scania, listed on NASDAQ OMX Stockholm"
"Peab has approximately 130 regional offices and 14,578 employees in Sweden, Norway and Finland.

",peab,"$COMPANY has approximately 130 regional offices and 14,578 employees in Sweden, Norway and Finland.

"
"Luxoft, a DXC Technology Company, is a digital strategy and software engineering firm, with about 12,900 employees within its 41 offices in 22 countries",luxoft,"$COMPANY, a DXC Technology Company, is a digital strategy and software engineering firm, with about 12,900 employees within its 41 offices in 22 countries"
Computacenter plc is a British multinational that provides computer services to public- and private-sector customers,computacenter,$COMPANY plc is a British multinational that provides computer services to public- and private-sector customers
Mindshare is a global media and marketing services company formed in 1997,mindshare,$COMPANY is a global media and marketing services company formed in 1997
"As one of the world's largest media agencies, Mindshare is responsible for a large majority of GroupM/WPP's global marketing billings and campaigns.
Mindshare's achievements include the Dove Natural Women & Snapchat Hack campaigns, the first Global Media Agency to gain accredited Actions on Google channel partners status, and many others that have won global awards.",mindshare,"As one of the world's largest media agencies, $COMPANY is responsible for a large majority of GroupM/WPP's global marketing billings and campaigns.
Mindshare's achievements include the Dove Natural Women & Snapchat Hack campaigns, the first Global Media Agency to gain accredited Actions on Google channel partners status, and many others that have won global awards."
"Balfour Beatty plc () is a British multinational infrastructure group based in the United Kingdom with capabilities in construction services, support services and infrastructure investments",balfour beatty plc,"$COMPANY () is a British multinational infrastructure group based in the United Kingdom with capabilities in construction services, support services and infrastructure investments"
"Mediacom Communications Corporation is the United States' fifth largest cable television provider based on the number of video subscribers, and among the leading cable operators focused on serving smaller cities and towns",mediacom,"$COMPANY Communications Corporation is the United States' fifth largest cable television provider based on the number of video subscribers, and among the leading cable operators focused on serving smaller cities and towns"
"Mediacom is headquartered in New York and incorporated in Delaware, United States",mediacom,"$COMPANY is headquartered in New York and incorporated in Delaware, United States"
"International Business Machines Corporation (IBM) is an American multinational technology corporation headquartered in Armonk, New York, with operations in over 171 countries",ibm,"International Business Machines Corporation ($COMPANY) is an American multinational technology corporation headquartered in Armonk, New York, with operations in over 171 countries"
"IBM is incorporated in New York.IBM produces and sells computer hardware, middleware and software, and provides hosting and consulting services in areas ranging from mainframe computers to nanotechnology",ibm,"$COMPANY is incorporated in New York.IBM produces and sells computer hardware, middleware and software, and provides hosting and consulting services in areas ranging from mainframe computers to nanotechnology"
"IBM is also a major research organization, holding the record for most annual U.S",ibm,"$COMPANY is also a major research organization, holding the record for most annual U.S"
"Inventions by IBM include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM)",ibm,"Inventions by $COMPANY include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM)"
"The IBM mainframe, exemplified by the System/360, was the dominant computing platform during the 1960s and 1970s.
IBM has continually shifted business operations aimed at focusing on higher-value, more profitable markets",ibm,"The $COMPANY mainframe, exemplified by the System/360, was the dominant computing platform during the 1960s and 1970s.
IBM has continually shifted business operations aimed at focusing on higher-value, more profitable markets"
"In 2015, IBM announced that it would go ""fabless"", continuing to design semiconductors, but offloading manufacturing to GlobalFoundries, and in 2020, the company announced the spin-off of the Managed Infrastructure Services unit of its Global Technology Services division, with expected completion by the end of 2021.
Nicknamed Big Blue, IBM is one of 30 companies included in the Dow Jones Industrial Average and one of the world's largest employers, with over 345,000 employees as of 2020",ibm,"In 2015, $COMPANY announced that it would go ""fabless"", continuing to design semiconductors, but offloading manufacturing to GlobalFoundries, and in 2020, the company announced the spin-off of the Managed Infrastructure Services unit of its Global Technology Services division, with expected completion by the end of 2021.
Nicknamed Big Blue, IBM is one of 30 companies included in the Dow Jones Industrial Average and one of the world's largest employers, with over 345,000 employees as of 2020"
"At least 70% of IBM employees are based outside the United States, and the country with the largest number of IBM employees is India",ibm,"At least 70% of $COMPANY employees are based outside the United States, and the country with the largest number of IBM employees is India"
"IBM employees have been awarded five Nobel Prizes, six Turing Awards, ten National Medals of Technology (USA) and five National Medals of Science (USA).",ibm,"$COMPANY employees have been awarded five Nobel Prizes, six Turing Awards, ten National Medals of Technology (USA) and five National Medals of Science (USA)."
